route_id,direction,stop_id
1,"North Bound",1577
1,"North Bound",1564
1,"North Bound",1542
1,"North Bound",1537
1,"North Bound",1535
1,"North Bound",1536
1,"North Bound",1539
1,"North Bound",1543
1,"North Bound",1540
1,"North Bound",1541
1,"North Bound",1538
1,"North Bound",12713
1,"North Bound",17046
1,"North Bound",1108
1,"North Bound",4732
1,"North Bound",77
1,"North Bound",80
1,"North Bound",9188
1,"North Bound",17680
1,"North Bound",15385
1,"North Bound",14209
1,"North Bound",14757
1,"North Bound",1563
1,"North Bound",1562
1,"North Bound",16119
1,"North Bound",1560
1,"North Bound",15314
1,"North Bound",1558
1,"North Bound",1557
1,"North Bound",1556
1,"North Bound",17679
1,"North Bound",1552
1,"North Bound",1551
1,"North Bound",1550
1,"North Bound",1549
1,"North Bound",1548
1,"North Bound",1547
1,"North Bound",1546
1,"North Bound",1545
1,"North Bound",1544
1,"North Bound",1555
1,"North Bound",1554
1,"North Bound",1581
1,"North Bound",1579
1,"North Bound",1578
1,"North Bound",14760
1,"North Bound",1575
1,"North Bound",1573
1,"North Bound",1570
1,"North Bound",15313
1,"North Bound",1568
1,"North Bound",1567
1,"North Bound",1566
1,"North Bound",1565
1,"North Bound",1583
1,"North Bound",1582
1,"North Bound",1584
1,"North Bound",15312
1,"North Bound",14485
1,"North Bound",1574
1,"North Bound",1580
1,"North Bound",75
1,"South Bound",1594
1,"South Bound",1606
1,"South Bound",1614
1,"South Bound",1616
1,"South Bound",1629
1,"South Bound",1634
1,"South Bound",1636
1,"South Bound",1635
1,"South Bound",1632
1,"South Bound",1628
1,"South Bound",1631
1,"South Bound",1627
1,"South Bound",1633
1,"South Bound",9188
1,"South Bound",5009
1,"South Bound",14210
1,"South Bound",6351
1,"South Bound",13155
1,"South Bound",6350
1,"South Bound",6349
1,"South Bound",70
1,"South Bound",71
1,"South Bound",72
1,"South Bound",1590
1,"South Bound",1592
1,"South Bound",15956
1,"South Bound",1595
1,"South Bound",1596
1,"South Bound",1598
1,"South Bound",16014
1,"South Bound",17243
1,"South Bound",1602
1,"South Bound",1603
1,"South Bound",1604
1,"South Bound",1605
1,"South Bound",1607
1,"South Bound",1608
1,"South Bound",1609
1,"South Bound",1610
1,"South Bound",1611
1,"South Bound",1612
1,"South Bound",1613
1,"South Bound",1617
1,"South Bound",1618
1,"South Bound",1619
1,"South Bound",1620
1,"South Bound",1621
1,"South Bound",1622
1,"South Bound",1623
1,"South Bound",1624
1,"South Bound",1625
1,"South Bound",1626
1,"South Bound",1588
1,"South Bound",1589
1,"South Bound",1587
1,"South Bound",1599
1,"South Bound",1597
1,"South Bound",1586
1,"South Bound",1615
1,"South Bound",1591
1,"South Bound",73
1,"South Bound",16181
1,"South Bound",15900
1,"South Bound",15899
2,"North Bound",14483
2,"North Bound",17057
2,"North Bound",7137
2,"North Bound",1514
2,"North Bound",14458
2,"North Bound",15432
2,"North Bound",14019
2,"North Bound",14021
2,"North Bound",14885
2,"North Bound",14020
2,"North Bound",15433
2,"North Bound",4883
2,"North Bound",4884
2,"North Bound",15482
2,"North Bound",9188
2,"North Bound",2505
2,"North Bound",2504
2,"North Bound",2503
2,"North Bound",15148
2,"North Bound",2501
2,"North Bound",15164
2,"North Bound",2499
2,"North Bound",2498
2,"North Bound",2506
2,"North Bound",1646
2,"North Bound",1645
2,"North Bound",1638
2,"North Bound",1639
2,"North Bound",1644
2,"North Bound",1643
2,"North Bound",1642
2,"North Bound",587
2,"North Bound",15393
2,"North Bound",756
2,"North Bound",754
2,"North Bound",755
2,"North Bound",5040
2,"North Bound",5039
2,"North Bound",5038
2,"North Bound",5037
2,"North Bound",1121
2,"North Bound",1123
2,"North Bound",1122
2,"North Bound",14510
2,"North Bound",14160
2,"North Bound",5013
2,"North Bound",1115
2,"North Bound",1439
2,"North Bound",15052
2,"North Bound",1438
2,"North Bound",1117
2,"North Bound",1437
2,"North Bound",1113
2,"North Bound",1515
2,"North Bound",1513
2,"North Bound",15497
2,"South Bound",4872
2,"South Bound",7175
2,"South Bound",15431
2,"South Bound",14032
2,"South Bound",15428
2,"South Bound",15430
2,"South Bound",15429
2,"South Bound",4871
2,"South Bound",4870
2,"South Bound",14645
2,"South Bound",2555
2,"South Bound",2556
2,"South Bound",2557
2,"South Bound",2558
2,"South Bound",2559
2,"South Bound",2560
2,"South Bound",2561
2,"South Bound",2562
2,"South Bound",2554
2,"South Bound",1527
2,"South Bound",1533
2,"South Bound",1528
2,"South Bound",1529
2,"South Bound",1525
2,"South Bound",1530
2,"South Bound",15671
2,"South Bound",591
2,"South Bound",590
2,"South Bound",589
2,"South Bound",760
2,"South Bound",759
2,"South Bound",5033
2,"South Bound",5034
2,"South Bound",5035
2,"South Bound",5036
2,"South Bound",1103
2,"South Bound",1102
2,"South Bound",1101
2,"South Bound",14510
2,"South Bound",14160
2,"South Bound",5005
2,"South Bound",1431
2,"South Bound",1429
2,"South Bound",1423
2,"South Bound",1427
2,"South Bound",1430
2,"South Bound",1425
2,"South Bound",1656
2,"South Bound",1658
2,"South Bound",1421
2,"South Bound",14509
3,"North Bound",1577
3,"North Bound",7494
3,"North Bound",7491
3,"North Bound",7493
3,"North Bound",2180
3,"North Bound",2166
3,"North Bound",2150
3,"North Bound",2104
3,"North Bound",2105
3,"North Bound",2185
3,"North Bound",582
3,"North Bound",15282
3,"North Bound",2103
3,"North Bound",584
3,"North Bound",17397
3,"North Bound",2181
3,"North Bound",2179
3,"North Bound",2178
3,"North Bound",2171
3,"North Bound",2170
3,"North Bound",2168
3,"North Bound",2169
3,"North Bound",2167
3,"North Bound",2165
3,"North Bound",2164
3,"North Bound",2161
3,"North Bound",2160
3,"North Bound",2159
3,"North Bound",2158
3,"North Bound",2157
3,"North Bound",2156
3,"North Bound",2155
3,"North Bound",2154
3,"North Bound",2153
3,"North Bound",2152
3,"North Bound",2151
3,"North Bound",2149
3,"North Bound",2148
3,"North Bound",2145
3,"North Bound",15486
3,"North Bound",2143
3,"North Bound",2142
3,"North Bound",2141
3,"North Bound",2140
3,"North Bound",2139
3,"North Bound",2138
3,"North Bound",2137
3,"North Bound",2136
3,"North Bound",2135
3,"North Bound",2131
3,"North Bound",2130
3,"North Bound",2129
3,"North Bound",2128
3,"North Bound",17381
3,"North Bound",2126
3,"North Bound",2125
3,"North Bound",2124
3,"North Bound",2123
3,"North Bound",2122
3,"North Bound",2121
3,"North Bound",2120
3,"North Bound",2119
3,"North Bound",2118
3,"North Bound",2117
3,"North Bound",2116
3,"North Bound",2115
3,"North Bound",2114
3,"North Bound",2113
3,"North Bound",2112
3,"North Bound",2111
3,"North Bound",2110
3,"North Bound",2109
3,"North Bound",2107
3,"North Bound",2106
3,"North Bound",2132
3,"North Bound",2108
3,"North Bound",2147
3,"North Bound",2146
3,"North Bound",2134
3,"North Bound",2133
3,"North Bound",2162
3,"North Bound",2163
3,"North Bound",14559
3,"North Bound",1581
3,"North Bound",1579
3,"North Bound",1578
3,"North Bound",14760
3,"North Bound",1575
3,"North Bound",1573
3,"North Bound",1567
3,"North Bound",1583
3,"North Bound",1582
3,"North Bound",1584
3,"North Bound",15312
3,"North Bound",1126
3,"North Bound",14485
3,"North Bound",1574
3,"North Bound",1121
3,"North Bound",1123
3,"North Bound",1122
3,"North Bound",1125
3,"North Bound",76
3,"North Bound",2188
3,"North Bound",15241
3,"North Bound",1124
3,"North Bound",1119
3,"North Bound",1580
3,"North Bound",1120
3,"South Bound",1594
3,"South Bound",15739
3,"South Bound",2195
3,"South Bound",2197
3,"South Bound",2201
3,"South Bound",7686
3,"South Bound",2203
3,"South Bound",2219
3,"South Bound",2265
3,"South Bound",2264
3,"South Bound",2266
3,"South Bound",17079
